State,Year,Per_Capita_Personal_Consumption
Maryland,2006,34982
Massachusetts,2006,39588
Michigan,2006,28423
Minnesota,2006,33983
Mississippi,2006,23804
Missouri,2006,29419
Montana,2006,29551
Nebraska,2006,29560
Nevada,2006,32125
New Hampshire,2006,37294
New Jersey,2006,37750
New Mexico,2006,26344
New York,2006,33138
North Carolina,2006,27851
North Dakota,2006,29670
Ohio,2006,28793
Oklahoma,2006,25666
Oregon,2006,30430
Pennsylvania,2006,32456
Rhode Island,2006,32520
South Carolina,2006,27490
South Dakota,2006,28171
Tennessee,2006,27592
Texas,2006,28314
Utah,2006,26129
Vermont,2006,34444
Virginia,2006,33267
Washington,2006,32914
West Virginia,2006,25238
Wisconsin,2006,30197
Wyoming,2006,31550
Alabama,2007,27160
Alaska,2007,37656
Arizona,2007,31513
Arkansas,2007,25472
California,2007,34659
Colorado,2007,34856
Connecticut,2007,40184
Delaware,2007,36992
Florida,2007,34302
Georgia,2007,29635
Hawaii,2007,34497
Idaho,2007,27270
Illinois,2007,33372
Indiana,2007,28595
Iowa,2007,28819
Kansas,2007,30830
Kentucky,2007,27048
Louisiana,2007,28207
Maine,2007,33294
Maryland,2007,36354
Massachusetts,2007,40715
Michigan,2007,29334
Minnesota,2007,34805
Mississippi,2007,24819
Missouri,2007,30560
Montana,2007,31259
Nebraska,2007,30767
Nevada,2007,33101
New Hampshire,2007,39040
New Jersey,2007,39189
New Mexico,2007,27502
New York,2007,34774
North Carolina,2007,28953
North Dakota,2007,31270
Ohio,2007,29841
Oklahoma,2007,26843
Oregon,2007,31593
Pennsylvania,2007,33722
Rhode Island,2007,33846
South Carolina,2007,28740
South Dakota,2007,29197
Tennessee,2007,28709
Texas,2007,29473
Utah,2007,27456
Vermont,2007,35819
Virginia,2007,34647
Washington,2007,34389
West Virginia,2007,26240
Wisconsin,2007,31169
Wyoming,2007,33548
Alabama,2008,27555
Alaska,2008,38911
Arizona,2008,31456
Arkansas,2008,26147
California,2008,35379
Colorado,2008,35436
Connecticut,2008,41165
Delaware,2008,37327
Florida,2008,34522
Georgia,2008,29683
Hawaii,2008,35574
Idaho,2008,27290
Illinois,2008,34024
Indiana,2008,29149
Iowa,2008,29761
Kansas,2008,31579
Kentucky,2008,27754
Louisiana,2008,29037
Maine,2008,34194
Maryland,2008,37207
Massachusetts,2008,41751
Michigan,2008,30327
Minnesota,2008,35809
Mississippi,2008,25510
Missouri,2008,31588
Montana,2008,32496
Nebraska,2008,31772
Nevada,2008,33106
New Hampshire,2008,39545
New Jersey,2008,40170
New Mexico,2008,28471
New York,2008,35849
North Carolina,2008,29283
North Dakota,2008,32599
Ohio,2008,30314
Oklahoma,2008,27817
Oregon,2008,31897
Pennsylvania,2008,34787
Rhode Island,2008,34434
South Carolina,2008,29323
South Dakota,2008,30415
Tennessee,2008,29062
Texas,2008,30200
Utah,2008,27808
Vermont,2008,36976
Virginia,2008,35537
Washington,2008,35397
West Virginia,2008,27267
Wisconsin,2008,31956
Wyoming,2008,34161
Alabama,2009,26958
Alaska,2009,38871
Arizona,2009,30090
Arkansas,2009,25712
California,2009,33919
Colorado,2009,34335
Connecticut,2009,40137
Delaware,2009,36558
Florida,2009,33263
Georgia,2009,28587
Hawaii,2009,34879
Idaho,2009,26145
Illinois,2009,33156
Indiana,2009,28558
Iowa,2009,29602
Kansas,2009,30648
Kentucky,2009,27576
Louisiana,2009,28740
Maine,2009,34300
Maryland,2009,36548
Massachusetts,2009,41046
Michigan,2009,29912
Minnesota,2009,35010
Mississippi,2009,25091
Missouri,2009,30989
Montana,2009,31485
Nebraska,2009,31007
Nevada,2009,31132
New Hampshire,2009,39300
New Jersey,2009,39123
New Mexico,2009,27866
New York,2009,35509
North Carolina,2009,28469
North Dakota,2009,33073
Ohio,2009,29795
Oklahoma,2009,27008
Oregon,2009,30958
Pennsylvania,2009,34343
Rhode Island,2009,34118
South Carolina,2009,28588
South Dakota,2009,30309
Tennessee,2009,28370
Texas,2009,29593
Utah,2009,26763
Vermont,2009,36954
Virginia,2009,34817
Washington,2009,34437
West Virginia,2009,27627
Wisconsin,2009,31480
Wyoming,2009,33487
Alabama,2010,27634
Alaska,2010,39968
