Year,State,Percent_Born_Mexico
2013,Florida,0.03794950918634785
2013,Georgia,0.0024973454237470234
2013,Idaho,0.006126197134708128
2013,Hawaii,0.009176626984637441
2013,Illinois,0.012227056834566754
2013,Indiana,0.007152877091314765
2013,Iowa,0.002318327225683931
2013,Kansas,0.008437621051097466
2013,Kentucky,0.0005273617034058165
2013,Louisiana,0.004859928966227434
2013,Maine,0.0007528306432185016
2013,Maryland,0.11404969131681458
2013,Massachusetts,0.02143811606196342
2013,Michigan,0.0014060152163215102
2013,Minnesota,0.003627700673555558
2013,Mississippi,0.006819238448949098
2013,Missouri,0.005093902598589488
2013,Montana,0.005017595431514929
2013,Nebraska,0.004941288264440372
2013,Nevada,0.007289201066933913
2013,New Hampshire,0.0006064414696805797
2013,New Jersey,0.02983332061501702
2013,New Mexico,0.009808156327517048
