state,year,nominal_gdp,real_gdp
Georgia,2005,388707.2,480838.3
Hawaii,2005,57211.8,72941.9
Idaho,2005,48805.1,59331.9
Illinois,2005,589153.7,741248.6
Indiana,2005,247428.3,306344.6
Iowa,2005,122866.1,153626.8
Kansas,2005,105343.9,129588.2
Kentucky,2005,144914.9,182017.9
Louisiana,2005,199314.2,249560.9
Maine,2005,47028.1,59589.7
Maryland,2005,261795.3,325644.5
Massachusetts,2005,340637.8,417075.6
Michigan,2005,402828.8,493796.3
Minnesota,2005,244635.4,301761.2
Mississippi,2005,82991.6,103691.8
Missouri,2005,227594.6,285341.7
Montana,2005,30823.7,38849
Nebraska,2005,74886.7,94556
Nevada,2005,117165.1,150680.9
New Hampshire,2005,56914.6,69556.1
New Jersey,2005,436064.4,546357.8
New Mexico,2005,74130.9,86295.9
New York,2005,1009851,1301438
North Carolina,2005,354798.5,442305.6
North Dakota,2005,24572,29629
Ohio,2005,470179.5,584867.7
Oklahoma,2005,125961.4,140360.1
Oregon,2005,143556.3,168734.4
Pennsylvania,2005,510763.9,626290.1
Rhode Island,2005,44413.3,55885.9
South Carolina,2005,145195.8,183267.5
South Dakota,2005,31104.3,39330.6
Tennessee,2005,231339,289064.3
Texas,2005,1003745.9,1143413.1
Utah,2005,95512,118430.2
Vermont,2005,23763,29283.2
Virginia,2005,357427,442089.5
Washington,2005,293402,358396.3
West Virginia,2005,53814.3,67888.8
Wisconsin,2005,226937.5,282065.7
Wyoming,2005,27530.2,32463.1
Alabama,2006,166048.2,199923.9
Alaska,2006,44951.7,47546.2
Arizona,2006,246061.1,296424.4
Arkansas,2006,96073.7,114890.4
California,2006,1812161.6,2120435.4
Colorado,2006,232853.6,268190.8
Connecticut,2006,219812.2,269478.6
Delaware,2006,55567.7,68411.8
Florida,2006,749925,909298.9
Georgia,2006,405664.2,487524.9
Hawaii,2006,60848,74892.9
Idaho,2006,51099,60738.6
Illinois,2006,624068.1,759825.7
Indiana,2006,259030.3,312525.5
Iowa,2006,127670.8,155704.5
Kansas,2006,113831.8,136135.8
Kentucky,2006,153009.8,186332.6
Louisiana,2006,207249.8,247139.7
Maine,2006,48889.3,59986
Maryland,2006,273791,329874
Massachusetts,2006,358418.3,426926.1
Michigan,2006,402537.3,483763.6
Minnesota,2006,252357.6,302272.7
Mississippi,2006,87596.7,105879.9
Missouri,2006,235816.9,286558.3
Montana,2006,33088,40055
Nebraska,2006,79287.5,97322.8
Nevada,2006,126613.4,156297.9
New Hampshire,2006,60152.7,71424.5
New Jersey,2006,457681.5,555211
New Mexico,2006,78008.2,88554.5
New York,2006,1072271.8,1339568.5
North Carolina,2006,388012.1,470663.9
North Dakota,2006,26406.5,30911.4
Ohio,2006,482904,582637.6
Oklahoma,2006,138352.3,149367.1
Oregon,2006,153779.6,177222.4
Pennsylvania,2006,528771.2,626589.9
Rhode Island,2006,47165.3,57415.8
South Carolina,2006,153453.4,187386.1
South Dakota,2006,32559.3,39961.6
Tennessee,2006,243104.4,295668.2
Texas,2006,1108236.5,1225147.3
Utah,2006,106787.1,127539.4
Vermont,2006,24507.1,29420.9
Virginia,2006,376429.4,451263.1
Washington,2006,314190.8,372145
West Virginia,2006,57204.1,68900
Wisconsin,2006,237571.9,287146.6
Wyoming,2006,32692.2,36655.6
Alabama,2007,172247,202025.5
Alaska,2007,49456.4,50126.7
Arizona,2007,261152.8,306611.6
Arkansas,2007,98325,114026.7
California,2007,1900220.4,2168940.4
Colorado,2007,248571.6,278733.8
Connecticut,2007,232626.8,278485.4
Delaware,2007,56705.6,68132.4
Florida,2007,781947.3,922288.3
Georgia,2007,419384.8,492238.7
Hawaii,2007,64106,76434.1
Idaho,2007,53712.4,61812.1
Illinois,2007,649307.4,769571.6
Indiana,2007,273340.8,322661.7
Iowa,2007,137590.2,162838.1
Kansas,2007,123608.9,143586.6
Kentucky,2007,156900,185790
Louisiana,2007,203771.3,234216.4
Maine,2007,50291.3,60032.6
Maryland,2007,282618.2,331763.5
Massachusetts,2007,377985.6,440373.8
Michigan,2007,410613,482935.1
Minnesota,2007,261250.7,304208
Mississippi,2007,91876.5,107713.9
Missouri,2007,244085.3,288320.8
Montana,2007,36116.1,42057.7
Nebraska,2007,84291.9,99780.7
Nevada,2007,132045.4,157734.3
New Hampshire,2007,61984.8,71943.5
New Jersey,2007,474539.6,560823.8
New Mexico,2007,81100.3,89392.3
New York,2007,1116265.3,1353798.9
North Carolina,2007,402188.3,477920.8
North Dakota,2007,29044.6,32529
Ohio,2007,497600.1,585403
Oklahoma,2007,146582.4,152879.6
Oregon,2007,159676.2,180724.3
Pennsylvania,2007,563238.6,649638.1
Rhode Island,2007,47490.1,56230.5
South Carolina,2007,162476.3,193386.6
South Dakota,2007,35282.6,41646.2
Tennessee,2007,248261.6,294819.8
Texas,2007,1198565,1288828.7
Utah,2007,115180.7,133799.8
Vermont,2007,25025.2,29296.6
Virginia,2007,391595.5,457568.9
Washington,2007,341712.3,394221.9
West Virginia,2007,59480.4,69374.1
Wisconsin,2007,245837.7,289855.2
Wyoming,2007,36912.8,39504.8
Alabama,2008,174665.6,200967.4
Alaska,2008,55246.7,49926.6
Arizona,2008,261005.8,302277.9
Arkansas,2008,100206.7,113628
California,2008,1946241.5,2192331.8
Colorado,2008,257606.1,281803.3
Connecticut,2008,236110.7,277793.2
Delaware,2008,55250.8,65771.3
Florida,2008,767357.8,891766.9
Georgia,2008,416303.5,481860.3
Hawaii,2008,65545.5,76830.2
Idaho,2008,56203.6,63878.2
Illinois,2008,649677.3,759095.3
Indiana,2008,277774.5,322384.3
Iowa,2008,137749.2,160469.1
Kansas,2008,129223.2,147265
Kentucky,2008,160700.2,186515.9
Louisiana,2008,213803.5,237061.6
Maine,2008,51001.9,59845.1
Maryland,2008,292908.3,338165.4
Massachusetts,2008,387923.4,447526.8
Michigan,2008,391633.6,455256.7
Minnesota,2008,268771.5,309290.4
Mississippi,2008,95179.3,109434
Missouri,2008,256431.1,297881.8
Montana,2008,37028,42049.3
Nebraska,2008,86146.6,99860.1
Nevada,2008,130570.9,152745.6
New Hampshire,2008,62095.3,71195.6
New Jersey,2008,493289.4,573202.7
New Mexico,2008,84339.7,89012.9
New York,2008,1107860.2,1328095.7
North Carolina,2008,420707.2,492688.8
North Dakota,2008,32027.7,35030.4
Ohio,2008,500916.4,580389
Oklahoma,2008,161609,158987.8
Oregon,2008,164122.9,184842.6
Pennsylvania,2008,586886.6,665148.3
Rhode Island,2008,47138.9,54977.1
South Carolina,2008,164471.2,192497.1
South Dakota,2008,36939.3,43278.5
Tennessee,2008,255546.7,298526.9
Texas,2008,1253142,1287191.5
Utah,2008,116949.2,133662.9
Vermont,2008,26140.4,30168.6
Virginia,2008,402157.8,462034.7
Washington,2008,352460.7,401093.2
West Virginia,2008,62978.7,70966.8
Wisconsin,2008,246493,286204.7
Wyoming,2008,42694.6,41641.2
Alabama,2009,170876.5,194192.1
Alaska,2009,50165.9,54951.9
Arizona,2009,244862.2,277412.4
Arkansas,2009,97783.9,109833.1
California,2009,1879809.5,2110679.4
Colorado,2009,249817.1,275659.1
Connecticut,2009,231628,265530.8
Delaware,2009,57729.9,69186.2
Florida,2009,739322.4,840480.6
Georgia,2009,409876.2,464016.8
Hawaii,2009,64464.3,74118.5
Idaho,2009,54507.9,61276.1
Illinois,2009,645843.2,740794.3
Indiana,2009,264925,299789
Iowa,2009,137094.3,156737.2
Kansas,2009,126049.7,141902.5
Kentucky,2009,157440.1,178112.8
Louisiana,2009,206111.5,241868.8
Maine,2009,51451.2,58771.8
Maryland,2009,298282.8,336285.8
Massachusetts,2009,388963.9,441307.6
Michigan,2009,371707,416297.1
Minnesota,2009,262628.8,296875.2
Mississippi,2009,92378,105360
Missouri,2009,254306.2,289566.8
Montana,2009,35880,40938.4
Nebraska,2009,87325.5,99986.4
Nevada,2009,122471.2,140304.3
New Hampshire,2009,63052.2,70498.6
New Jersey,2009,481452.7,546362.2
New Mexico,2009,82641.3,90829.2
New York,2009,1155492.3,1379504.6
North Carolina,2009,413096.8,473610.5
North Dakota,2009,32310.4,35971.3
Ohio,2009,484407.1,550982.4
Oklahoma,2009,147332.4,156856.8
Oregon,2009,159330.4,176951.6
Pennsylvania,2009,581219.9,645206.7
Rhode Island,2009,47647.2,54481.5
South Carolina,2009,162380.4,184081.3
South Dakota,2009,36732.1,44255.8
Tennessee,2009,252940.7,287308.8
Texas,2009,1179168.1,1285560.2
Utah,2009,113834.8,130958.6
Vermont,2009,26220,29565.7
Virginia,2009,409935.3,460075.3
Washington,2009,349945.4,390814
West Virginia,2009,64040.1,70886.5
Wisconsin,2009,246323.8,277279.4
Wyoming,2009,36282.2,40599.6
Alabama,2010,177510.7,199455
Alaska,2010,53654,53652
Arizona,2010,250527,282252.5
Arkansas,2010,101699.3,113000.9
California,2010,1938603.3,2153852.8
Colorado,2010,256771.8,279385.6
Connecticut,2010,234022.2,266773.4
Delaware,2010,58132.2,68291.9
Florida,2010,752998.4,851956.4
Georgia,2010,419013.1,471588.2
Hawaii,2010,66739.3,76130.2
Idaho,2010,56086.2,62626.4
Illinois,2010,663929,755391.4
Indiana,2010,284685.8,320731.8
Iowa,2010,142497.7,161593.1
Kansas,2010,129235.7,143870.1
Kentucky,2010,166656.3,186720.6
Louisiana,2010,226555.6,253466.9
Maine,2010,52802.5,59958.5
Maryland,2010,313930.5,352622.9
Massachusetts,2010,409270,462330.8
Michigan,2010,393179.6,441271.5
Minnesota,2010,274649.2,308091.9
Mississippi,2010,94788.3,106711.8
Missouri,2010,262013.4,295986.4
Montana,2010,38080.3,42469.8
Nebraska,2010,91940.7,103940.8
Nevada,2010,125149,142614.2
New Hampshire,2010,65310.8,72950.4
New Jersey,2010,491229,554764.4
New Mexico,2010,84862.6,90721
New York,2010,1217748,1431624
North Carolina,2010,422282.2,482030.4
North Dakota,2010,35651.8,38697.4
Ohio,2010,500274.2,563816.3
Oklahoma,2010,155267.5,158086.4
Oregon,2010,163150.5,180738.2
Pennsylvania,2010,604629.6,666805.8
Rhode Island,2010,49409.1,56050.6
South Carolina,2010,166767.4,188777.2
South Dakota,2010,38208.2,44810.7
Tennessee,2010,258657.6,292687
Texas,2010,1255660.8,1323059.1
Utah,2010,118296.3,133739.1
Vermont,2010,27478.3,30890.6
Virginia,2010,425490.8,475699.3
Washington,2010,363544.2,403471.3
West Virginia,2010,66160.4,71823.8
Wisconsin,2010,256159.5,287652.9
Wyoming,2010,37567.5,39135.8
Alabama,2011,182896.7,201372.8
Alaska,2011,56912.3,54045.5
Arizona,2011,261691.4,290411.3
Arkansas,2011,105697.6,115241.8
California,2011,2014050.3,2192887.2
Colorado,2011,266114.1,283963.8
Connecticut,2011,233058.7,261555.8
Delaware,2011,61379.4,71103.5
Florida,2011,761043.1,849395.3
Georgia,2011,433137.1,481215.4
Hawaii,2011,68801.1,77174.2
Idaho,2011,57418.2,62704
Illinois,2011,691805.5,772225.6
Indiana,2011,292373.8,321532.8
Iowa,2011,149026.1,164559.3
Kansas,2011,136747.1,147836.8
Kentucky,2011,171238.1,188389.8
Louisiana,2011,230518.7,241235.9
Maine,2011,53104.5,59429.7
Maryland,2011,324920.9,360155.9
Massachusetts,2011,423684.9,472664.3
Michigan,2011,408354.1,453989.1
Minnesota,2011,287070.8,315213.3
Mississippi,2011,96799.1,106491.1
Missouri,2011,263330,292984.2
Montana,2011,40592.3,43532.2
Nebraska,2011,100526.5,109734.2
Nevada,2011,128638.4,144341.2
New Hampshire,2011,66557.3,73465
New Jersey,2011,494292.8,548479.3
New Mexico,2011,87056,90552.3
New York,2011,1245769.4,1440346.8
North Carolina,2011,430040.1,484200.3
North Dakota,2011,41602.1,43300.4
Ohio,2011,525456.4,580251.4
Oklahoma,2011,167207.9,163859.3
Oregon,2011,169693.8,185959.4
Pennsylvania,2011,623767.9,676468.3
Rhode Island,2011,50123.7,56026.6
South Carolina,2011,172844.7,193221
South Dakota,2011,42082.7,47630.3
Tennessee,2011,270055,301508.9
Texas,2011,1351776.9,1370174.9
Utah,2011,125137.8,138301.1
Vermont,2011,28558.5,31663.6
Virginia,2011,433683.7,479571.4
Washington,2011,377518.8,411575.7
West Virginia,2011,69367.6,73175.2
Wisconsin,2011,265444,293664
Wyoming,2011,39615.1,38929.8
Alabama,2012,188280.7,203675.5
Alaska,2012,58320.7,57087.4
Arizona,2012,272703.3,297077.3
Arkansas,2012,108836,116616.2
California,2012,2108873.1,2255437.3
Colorado,2012,274738.8,289339.5
Connecticut,2012,239907.5,263649.9
Delaware,2012,62342.1,70562.4
Florida,2012,784545.9,857861.3
Georgia,2012,449375.6,489027.3
Hawaii,2012,71645.6,78694
Idaho,2012,57933.7,62007.3
Illinois,2012,725478,790723.3
Indiana,2012,301277.4,323876.2
Iowa,2012,158553.1,170923.7
Kansas,2012,141812.1,150077.1
Kentucky,2012,178370.6,192060.1
Louisiana,2012,235960.9,242416.8
Maine,2012,54018.5,59181.7
Maryland,2012,331869,361561.8
Massachusetts,2012,441373.9,483286.3
