State,Year,Per_Capita_Personal_Income
Texas,2005,33136
Utah,2005,28751
Vermont,2005,34573
Virginia,2005,40027
Washington,2005,37202
West Virginia,2005,26836
Wisconsin,2005,34218
Wyoming,2005,38907
Alabama,2006,31264
Alaska,2006,41013
Arizona,2006,34460
Arkansas,2006,29376
California,2006,41454
Colorado,2006,39869
Connecticut,2006,53224
Delaware,2006,40736
Florida,2006,38009
Georgia,2006,34574
Hawaii,2006,38315
Idaho,2006,31244
Illinois,2006,40021
Indiana,2006,32905
Iowa,2006,34197
Kansas,2006,35411
Kentucky,2006,30476
Louisiana,2006,33627
Maine,2006,34168
Maryland,2006,45293
Massachusetts,2006,47311
Michigan,2006,33563
Minnesota,2006,39362
Mississippi,2006,27827
Missouri,2006,33860
Montana,2006,31870
Nebraska,2006,35718
Nevada,2006,39437
New Hampshire,2006,42866
New Jersey,2006,47366
New Mexico,2006,30433
New York,2006,43760
North Carolina,2006,34189
North Dakota,2006,33120
Ohio,2006,33976
Oklahoma,2006,34650
Oregon,2006,34488
Pennsylvania,2006,37803
Rhode Island,2006,38719
South Carolina,2006,30789
South Dakota,2006,34983
Tennessee,2006,32878
Texas,2006,35422
Utah,2006,31107
Vermont,2006,36609
Virginia,2006,42164
Washington,2006,39744
West Virginia,2006,28528
Wisconsin,2006,36047
Wyoming,2006,43805
Alabama,2007,32516
Alaska,2007,43747
Arizona,2007,35602
Arkansas,2007,31036
California,2007,43070
Colorado,2007,41760
Connecticut,2007,57112
Delaware,2007,41539
Florida,2007,39184
Georgia,2007,35440
Hawaii,2007,40301
Idaho,2007,32459
Illinois,2007,42148
Indiana,2007,33845
Iowa,2007,36366
Kansas,2007,37748
Kentucky,2007,31529
Louisiana,2007,36208
Maine,2007,35402
Maryland,2007,47033
Massachusetts,2007,49662
Michigan,2007,34669
Minnesota,2007,41325
Mississippi,2007,29432
Missouri,2007,35228
Montana,2007,33841
Nebraska,2007,38184
Nevada,2007,39870
New Hampshire,2007,44422
New Jersey,2007,50133
New Mexico,2007,31780
New York,2007,47020
North Carolina,2007,35960
North Dakota,2007,36501
Ohio,2007,35371
Oklahoma,2007,35493
Oregon,2007,35624
Pennsylvania,2007,40008
Rhode Island,2007,40608
South Carolina,2007,32190
South Dakota,2007,38330
Tennessee,2007,33963
Texas,2007,36879
Utah,2007,32924
Vermont,2007,38595
Virginia,2007,44020
Washington,2007,42524
West Virginia,2007,29544
Wisconsin,2007,37522
Wyoming,2007,45634
Alabama,2008,33441
Alaska,2008,47800
Arizona,2008,35586
Arkansas,2008,32157
California,2008,43391
Colorado,2008,42961
Connecticut,2008,60543
Delaware,2008,41254
Florida,2008,39185
Georgia,2008,35272
Hawaii,2008,41887
Idaho,2008,32690
Illinois,2008,43238
Indiana,2008,35270
Iowa,2008,38490
Kansas,2008,41060
Kentucky,2008,32830
Louisiana,2008,38328
Maine,2008,36960
Maryland,2008,49026
Massachusetts,2008,51546
Michigan,2008,35826
Minnesota,2008,42983
Mississippi,2008,30736
Missouri,2008,37124
Montana,2008,35569
Nebraska,2008,40291
Nevada,2008,38640
New Hampshire,2008,45713
New Jersey,2008,51606
New Mexico,2008,33552
New York,2008,47909
North Carolina,2008,37772
North Dakota,2008,40973
Ohio,2008,36654
Oklahoma,2008,39154
Oregon,2008,36856
Pennsylvania,2008,41467
Rhode Island,2008,41487
South Carolina,2008,33110
South Dakota,2008,40891
Tennessee,2008,34954
Texas,2008,39841
Utah,2008,33784
Vermont,2008,40774
Virginia,2008,45383
Washington,2008,44098
West Virginia,2008,31494
Wisconsin,2008,38857
Wyoming,2008,49451
Alabama,2009,32717
Alaska,2009,47211
Arizona,2009,33467
Arkansas,2009,31411
California,2009,41660
Colorado,2009,40258
Connecticut,2009,59586
Delaware,2009,41056
Florida,2009,36777
Georgia,2009,34213
Hawaii,2009,41144
Idaho,2009,31200
Illinois,2009,41088
Indiana,2009,34200
Iowa,2009,37246
Kansas,2009,39382
Kentucky,2009,32198
Louisiana,2009,36803
Maine,2009,37107
Maryland,2009,48448
Massachusetts,2009,50751
Michigan,2009,34247
Minnesota,2009,40963
Mississippi,2009,30220
Missouri,2009,36306
Montana,2009,34479
Nebraska,2009,39422
Nevada,2009,36125
New Hampshire,2009,45119
New Jersey,2009,49828
New Mexico,2009,32901
New York,2009,46936
North Carolina,2009,35921
North Dakota,2009,40186
Ohio,2009,35593
Oklahoma,2009,35835
Oregon,2009,35286
Pennsylvania,2009,40446
Rhode Island,2009,40588
South Carolina,2009,31973
South Dakota,2009,39435
Tennessee,2009,34427
Texas,2009,37234
Utah,2009,31796
Vermont,2009,40358
Virginia,2009,44091
Washington,2009,41679
West Virginia,2009,31653
Wisconsin,2009,38138
Wyoming,2009,44499
Alabama,2010,33848
Alaska,2010,49543
Arizona,2010,33778
Arkansas,2010,32218
California,2010,43137
Colorado,2010,40827
Connecticut,2010,61392
Delaware,2010,41100
Florida,2010,38779
Georgia,2010,34740
Hawaii,2010,41498
Idaho,2010,31948
Illinois,2010,42107
Indiana,2010,35590
Iowa,2010,38190
Kansas,2010,39821
Kentucky,2010,33187
Louisiana,2010,38067
Maine,2010,38018
Maryland,2010,49616
Massachusetts,2010,52707
Michigan,2010,35635
Minnesota,2010,42538
Mississippi,2010,31213
Missouri,2010,36984
Montana,2010,35999
Nebraska,2010,41085
Nevada,2010,37289
New Hampshire,2010,46982
New Jersey,2010,50961
New Mexico,2010,33658
New York,2010,48578
North Carolina,2010,35848
North Dakota,2010,44081
Ohio,2010,36580
Oklahoma,2010,37157
Oregon,2010,35941
Pennsylvania,2010,42097
Rhode Island,2010,42630
South Carolina,2010,32749
South Dakota,2010,41275
Tennessee,2010,35809
Texas,2010,38911
Utah,2010,32037
Vermont,2010,41491
Virginia,2010,45442
Washington,2010,42327
West Virginia,2010,32642
Wisconsin,2010,39048
Wyoming,2010,46395
Alabama,2011,34884
Alaska,2011,52415
Arizona,2011,35263
